M/W,Season,Match,Y/M/D,Pool,Phase,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Qatar,3,0,25,25,26,-,-,16,19,24,-,-,ALL SETS,59,45,7,7,,45,10,27,82,7,13,11,31,7,13,56,76,16,0,34,50,23,14,40,20,0,61,81
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Qatar,3,0,25,25,26,-,-,16,19,24,-,-,SET 1,21,15,5,1,,15,2,4,21,5,3,1,9,1,5,19,25,4,0,10,14,6,2,8,6,0,15,21
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Qatar,3,0,25,25,26,-,-,16,19,24,-,-,SET 2,19,13,2,4,,13,4,14,31,2,7,5,14,4,2,20,26,5,0,11,16,7,4,14,10,0,20,30
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Brazil,Qatar,3,0,25,25,26,-,-,16,19,24,-,-,SET 3,19,17,0,2,,17,4,9,30,0,3,5,8,2,6,17,25,7,0,13,20,10,8,18,4,0,26,30
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Brazil,0,3,16,19,24,-,-,25,25,26,-,-,ALL SETS,42,36,6,0,,36,11,26,73,6,18,16,40,0,11,50,61,18,7,37,62,13,15,32,3,2,63,68
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Brazil,0,3,16,19,24,-,-,25,25,26,-,-,SET 1,9,9,0,0,,9,6,5,20,0,6,2,8,0,3,14,17,7,1,11,19,2,4,6,1,0,17,18
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Brazil,0,3,16,19,24,-,-,25,25,26,-,-,SET 2,15,13,2,0,,13,4,10,27,2,5,8,15,0,3,16,19,7,4,13,24,5,3,11,0,1,26,27
Men,2023,1,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Qatar,Brazil,0,3,16,19,24,-,-,25,25,26,-,-,SET 3,18,14,4,0,,14,1,11,26,4,7,6,17,0,5,20,25,4,2,13,19,6,8,15,2,1,20,23
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Italy,1,3,26,18,22,19,-,24,25,25,25,-,ALL SETS,59,49,6,4,,49,17,50,116,6,16,21,43,4,17,65,86,21,5,54,80,38,18,66,5,1,107,113
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Italy,1,3,26,18,22,19,-,24,25,25,25,-,SET 1,20,17,1,2,,17,3,18,38,1,1,6,8,2,5,18,25,6,3,13,22,18,6,26,2,0,35,37
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Italy,1,3,26,18,22,19,-,24,25,25,25,-,SET 2,13,9,3,1,,9,6,11,26,3,4,7,14,1,2,16,19,4,2,13,19,9,4,17,1,0,24,25
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Italy,1,3,26,18,22,19,-,24,25,25,25,-,SET 3,16,14,1,1,,14,5,12,31,1,6,6,13,1,5,16,22,7,0,14,21,8,4,15,2,1,28,31
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Czechia,Italy,1,3,26,18,22,19,-,24,25,25,25,-,SET 4,10,9,1,0,,9,3,9,21,1,5,2,8,0,5,15,20,4,0,14,18,3,4,8,0,0,20,20
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Italy,Czechia,3,1,24,25,25,25,-,26,18,22,19,-,ALL SETS,74,59,10,5,,59,12,51,122,10,19,20,49,5,18,75,98,14,4,51,69,47,14,66,7,2,106,115
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Italy,Czechia,3,1,24,25,25,25,-,26,18,22,19,-,SET 1,19,13,3,3,,13,4,15,32,3,6,8,17,3,3,19,25,4,2,14,20,14,4,22,3,0,27,30
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Italy,Czechia,3,1,24,25,25,25,-,26,18,22,19,-,SET 2,20,15,3,2,,15,3,18,36,3,2,3,8,2,5,17,24,3,1,13,17,14,3,17,1,0,33,34
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Italy,Czechia,3,1,24,25,25,25,-,26,18,22,19,-,SET 3,16,14,2,0,,14,2,14,30,2,7,7,16,0,4,21,25,2,1,14,17,10,5,15,2,1,24,27
Men,2023,2,2023/9/30,A,Preliminary,Rio De Janeiro,Brazil,Italy,Czechia,3,1,24,25,25,25,-,26,18,22,19,-,SET 4,19,17,2,0,,17,3,4,24,2,4,2,8,0,6,18,24,5,0,10,15,9,2,12,1,1,22,24
